S2_Prob,VSS,Invest_Cost,Hardened,New_DGs
0.0,0.0,0.0,[],[]
0.1,385.41,400.0,[5],[]
0.2,1179.49,550.0,[5],[13]
0.3,2044.24,550.0,[5],[13]
0.4,2908.98,550.0,[2],[13]
0.5,3773.73,550.0,[5],[13]
0.6,0.0,550.0,[5],[13]
0.7,0.0,550.0,[5],[13]
0.8,0.0,550.0,[5],[13]
0.9,0.0,550.0,[2],[13]
1.0,0.0,550.0,[5],[13]
