S2_Prob,VSS,Invest_Cost,Hardened,New_DGs
0.0,0.0,400.0,[6],[]
0.1,215.34,550.0,[2],[6]
0.2,1047.41,550.0,[5],[5]
0.3,1879.5,550.0,[5],[5]
0.4,2711.58,550.0,[2],[6]
0.5,3543.67,550.0,[2],[6]
0.6,83.98,550.0,[2],[5]
0.7,0.0,550.0,[2],[13]
0.8,-0.0,550.0,[2],[13]
0.9,0.0,550.0,[2],[13]
1.0,0.0,550.0,[5],[13]
